Region,Country,Name,Style,Substyle,IBU,Rating,ABV,Price,Volume_Per_Container,Bottles_Per_Unit
EUROPE,DENMARK,CARLSBERG TALL CAN,LAGER,PALE LAGER,8,2.973,5,2.5,0.5,1
EUROPE,GERMANY,HOLSTEN PREMIUM TALL CAN,LAGER,HELLES,NA,2.93,5.2,2.25,0.5,1
CANADA,CANADA,MT BEGBIE - TALL TIMBER ALE CAN,BROWN ALE,ENGLISH BROWN ALE,20,3.58,5.2,11.75,0.355,6
ASIA,CHINA,TSINGTAO,LAGER,PALE LAGER,25,2.86,4.5,11.45,0.33,6
ASIA,TURKEY,EFES PILSENER TURKEY,LAGER,PILSNER,NA,2.92,5,11.99,0.33,6
USA,UNITED STATES OF AMERICA,SAMUEL ADAMS BOSTON LAGER,LAGER,VIENNA LAGER,30,3.42,5,12.99,0.355,6
EUROPE,ICELAND,BRIO TALL CAN,LAGER,PILSNER,32,3.1,4.8,1.99,0.5,1
CANADA,CANADA,WHISTLER - BEAR PAW HONEY LAGER,LAGER,PALE LAGER,16,3.49,5,12.25,0.33,6
CANADA,CANADA,OKANAGAN SPRING - CLOUDY AMBER ALE,RED ALE,AMERICAN AMBER,38,3.23,5,12.99,0.341,6
EUROPE,GERMANY,WERNESGRUNER PILS TALL CAN,LAGER,PILSNER,35,3.1,4.9,2.15,0.5,1
USA,UNITED STATES OF AMERICA,PYRAMID BREWERIES - SEASONAL CURVE BALL BLONDE ALE,PALE ALE,AMERICAN BLONDE ALE,18,3.34,5.5,4.99,0.65,1
CANADA,CANADA,CENTRAL CITY - RED RACER IMPERIAL IPA,IPA,IMPERIAL IPA,90,3.8,9,6.5,0.65,1
USA,UNITED STATES OF AMERICA,SIERRA SEASONAL,IPA,AMERICAN IPA,NA,3.68,6.2,14.24,0.355,6
EUROPE,NETHERLANDS,GROLSCH PREMIUM LAGER TALL CAN,LAGER,PILSNER,NA,3.22,5,2.29,0.5,1
EUROPE,GERMANY,WARSTEINER PREMIUM VERUM TALL CAN,LAGER,PILSNER,27,3.22,4.8,10.25,0.5,4
USA,UNITED STATES OF AMERICA,BUD LIGHT LIME,LAGER,AMERICAN LIGHT LAGER,8,2.59,4,25.49,0.33,12
CANADA,CANADA,LABATT - BUDWEISER CROWN,LAGER,AMERICAN AMBER,15,2.71,6,23.49,0.341,12
CANADA,CANADA,STROH CANADA - OLD MILWAUKEE LIGHT CAN,LAGER,AMERICAN LIGHT LAGER,NA,2.36,4,20.25,0.355,15
EUROPE,NETHERLANDS,BAVARIA ORIGINAL BREW,LAGER,PALE LAGER,NA,2.2,5,12.99,0.5,6
EUROPE,UNITED KINGDOM,FULLERS LONDON PRIDE TALL CAN,PALE ALE,ESB,NA,3.42,4.7,11.3,0.5,4
EUROPE,SPAIN,ESTRELLA DAMM INEDIT,WHEAT,BELGIAN WITBIER,18,3.53,5,6.99,0.75,1
CANADA,CANADA,NELSON - PADDYWHACK IPA ORGANIC,IPA,AMERICAN IPA,NA,3.38,6.5,12.25,0.341,6
CANADA,CANADA,MOLSON - EXTRA OLD STOCK CAN,MALT,MALT,NA,2.25,5.65,19.85,0.355,15
CANADA,CANADA,GRANVILLE ISLAND - CYPRESS HONEY LAGER CAN,LAGER,PALE LAGER,15,3.33,4.8,12.99,0.355,6
EUROPE,BELGIUM,KARMELIET TRIPEL,STRONG ALE,BELGIAN TRIPEL,16,4.03,8.4,3.64,0.33,1
CANADA,CANADA,SALTSPRING - GOLDEN ALE,PALE ALE,AMERICAN BLONDE ALE,NA,3.51,5,5.65,0.65,1
CANADA,CANADA,MOLSON - CANADIAN 67 TANGERINE TWIST CAN,SPECIALTY,FRUIT BEER,NA,2.38,3,23.99,0.355,12
CANADA,CANADA,RICKARDS SHANDY CAN,SPECIALTY,FRUIT BEER,NA,2.74,4.5,12.99,0.355,6
CANADA,CANADA,FERNIE - PROJECT 9 PILSNER CAN,,,,,5,11.95,0.355,6
CANADA,CANADA,LABATT - WILDCAT STRONG CAN,,,,,6.1,8.15,0.355,6
CANADA,CANADA,NELSON - WILD HONEY ORGANIC ALE CAN,,,,,4.5,11.75,0.355,6
CANADA,CANADA,VANCOUVER ISLAND - PIPER'S PALE ALE,,,,,5,11.99,0.341,6
CANADA,CANADA,MOLSON - EXTRA OLD STOCK CAN,,,,,5.65,7.99,0.355,6
CANADA,CANADA,LABATT - LUCKY LAGER CAN,,,,,5,9.35,0.355,6
CANADA,CANADA,LABATT - BUDWEISER CAN,,,,,5,9.69,0.355,6
CANADA,CANADA,LABATT - WILDCAT STRONG CAN,,,,,6.1,22.85,0.355,15
CANADA,CANADA,LABATT - BLUE CAN,,,,,5,34.99,0.355,24
CANADA,CANADA,COLUMBIA - KOKANEE CAN,,,,,5,23.75,0.355,12
CANADA,CANADA,LABATT - GENUINE LAGER CAN,,,,,5,34.99,0.355,24
CANADA,CANADA,PACIFIC WESTERN - IRONHORSE ORIGINAL CAN,,,,,6.4,7.79,0.355,6
CANADA,CANADA,RICKARDS RED,,,,,5,12.99,0.341,6
CANADA,CANADA,OKANAGAN SPRING - PORTER,PORTER,BALTIC PORTER,NA,3.59,8.5,12.99,0.341,6
CANADA,CANADA,MOLSON - COORS LIGHT CAN,LAGER,AMERICAN LIGHT LAGER,NA,2.55,4,22.49,0.355,15
CANADA,CANADA,LABATT - BLUE CAN,LAGER,PILSNER,12,2.89,5,22.29,0.355,15
CANADA,CANADA,HOYNE - DARK MATTER,BROWN ALE,AMERICAN BROWN ALE,26,3.86,5.3,5.5,0.65,1
CANADA,CANADA,BARKERVILLE - HOUND OF BARKERVILLE,BROWN ALE,AMERICAN BROWN ALE,17,3.56,5.9,5.9,0.65,1
EUROPE,PORTUGAL,UNICER - SUPER BOCK TALL CAN,LAGER,PALE LAGER,NA,2.96,5.6,1.99,0.5,1
USA,UNITED STATES OF AMERICA,SIERRA NEVADA - KELLERWEIS,WHEAT,HEFEWEIZEN,15,3.57,4.8,14.99,0.355,6
EUROPE,UNITED KINGDOM,WELLS - STICKY TOFFEE PUDDING ALE,BROWN ALE,ENGLISH BROWN ALE,NA,3.45,5,3.65,0.5,1
CANADA,CANADA,HOWE SOUND - CLOUDBURST LEMONGRASS WHITE IPA,,,,,6,8.75,1,1
CANADA,CANADA,CENTRAL CITY - RED RACER RED ALE TALL CAN,,,,,5.6,2.45,0.5,1
CANADA,CANADA,LABATT - ROLLING ROCK,,,,,4.5,20.39,0.341,12
CANADA,CANADA,RED TRUCK LAGER CAN,,,,,5,11.95,0.355,6
CANADA,CANADA,UNIBROUE - LA RESOLUTION,,,,,9.8,7.75,0.75,1
CANADA,CANADA,OKANAGAN SPRING - CRAFT PACK,,,,,5,22.95,0.341,12
CANADA,CANADA,PHILLIPS - OCTOFOX IPA,,,,,6.5,5.5,0.65,1
CANADA,CANADA,TREE - CHARACTER WINTER CAN,,,,,5,23.25,0.355,12
EUROPE,UNITED KINGDOM,FULLERS ORGANIC HONEY DEW,PALE ALE,AMERICAN BLONDE ALE,35,3.34,5,3.99,0.5,1
EUROPE,FRANCE,AC/DC TALL CAN,LAGER,PALE LAGER,15,2.97,5,1.99,0.5,1
CANADA,CANADA,PARALLEL 49 - SEEDSPITTER WATERMELON WIT,WHEAT,BELGIAN WITBIER,8,3.23,5,12.5,0.341,6
CANADA,CANADA,WHISTLER - VALLEY TRAIL CHESTNUT ALE,SPECIALTY,HERB,25,3.84,5,12.25,0.33,6
USA,UNITED STATES OF AMERICA,SAMUEL ADAMS REBEL IPA,IPA,AMERICAN IPA,45,3.51,6.5,12.99,0.355,6
CANADA,CANADA,NELSON - FACEPLANT ORGANIC WINTER ALE CAN,DARK ALE,WINTER ALE,NA,3.55,6,12.25,0.355,6
CANADA,CANADA,STANLEY PARK - WIT,WHEAT,BELGIAN WITBIER,14,3.35,5,12.25,0.33,6
CANADA,CANADA,SPINNAKERS - NUT BROWN ALE,BROWN ALE,ENGLISH BROWN ALE,20,3.47,5.2,5.35,0.65,1
CANADA,CANADA,LIGHTHOUSE - SEAPORT VANILLA STOUT,STOUT,AMERICAN STOUT,7,3.77,5.5,5.95,0.65,1
CANADA,CANADA,DEAD FROG - WEEPING REAPER BLOOD ORANGE HELLES BOCK,BOCK,MAIBOCK,26,3.37,7,5.5,0.65,1
CANADA,CANADA,PARALLEL 49 - SUN OF HOP PALE ALE,PALE ALE,BELGIAN PALE ALE,NA,3.8,5,5,0.65,1
CANADA,CANADA,TIN WHISTLE - RATTLESNAKE ESB ALE,PALE ALE,ESB,NA,3.48,6.5,5.5,0.65,1
EUROPE,AUSTRIA,STIEGL - GRAPEFRUIT RADLER TALL CAN,SPECIALTY,FRUIT BEER,8,3.79,2.5,3.89,0.5,1
CANADA,CANADA,STANLEY PARK - NOBLE PILSNER TALL CAN,LAGER,PILSNER,12,3.33,5.1,2.25,0.5,1
CANADA,CANADA,STEAMWORKS - BLITZEN,STRONG ALE,BELGIAN TRIPEL,20,3.55,9,6.25,0.65,1
CANADA,CANADA,RED TRUCK '46 PORTER,PORTER,AMERICAN PORTER,35,3.65,6.6,5.5,0.65,1
USA,UNITED STATES OF AMERICA,GOOSE ISLAND MATILDA BELGIAN STYLE PALE ALE,PALE ALE,BELGIAN STRONG PALE,26,3.78,7,8.15,0.765,1
CANADA,CANADA,STEAMWORKS - PILSNER,LAGER,PILSNER,30,3.4,5,12.5,0.355,6
CANADA,CANADA,LIGHTHOUSE - LAGER CAN,LAGER,PALE LAGER,NA,3.23,5.1,9.99,0.355,6
USA,UNITED STATES OF AMERICA,MILLER GENUINE DRAFT,LAGER,AMERICAN ADJUNCT,12,2.49,4.7,45.99,0.355,24
USA,UNITED STATES OF AMERICA,DESCHUTES - SEASONAL JUBELALE,DARK ALE,WINTER ALE,65,3.6,5,14.5,0.355,6
CANADA,CANADA,NELSON - HARVEST MOON ORGANIC HEMP ALE CAN,PALE ALE,KOLSCH,NA,3.36,5,12.25,0.355,6
EUROPE,BELGIUM,ACHOUFFE - HOUBLON CHOUFFE DOBBELEN IPA TRIPEL,STRONG ALE,BELGIAN TRIPEL,47,3.75,9,3.8,0.33,1
EUROPE,BELGIUM,MARTENS PILSENER TALL CAN,LAGER,PILSNER,NA,2.91,5,8.45,0.5,4
CANADA,CANADA,WHISTLER - POWDER MOUNTAIN LAGER,LAGER,PALE LAGER,17,3.27,5,12.25,0.33,6
CANADA,CANADA,DRIFTWOOD - WHITE BARK WITBIER,WHEAT,BELGIAN WITBIER,NA,3.61,5,5.25,0.65,1
EUROPE,UNITED KINGDOM,INNIS & GUNN SPICED RUM FINISH,STRONG ALE,SCOTCH ALE,NA,3.62,7.4,4.99,0.33,1
CANADA,CANADA,HOYNE - DOWN EASY PALE ALE,PALE ALE,AMERICAN PALE ALE,NA,3.57,5.2,5.5,0.65,1
EUROPE,GERMANY,HACKER PSCHORR MUNICH GOLD TALL CAN,,,,,5.5,2.39,0.5,1
CANADA,CANADA,BRAVA - CAN,,,,,5.5,8.15,0.355,6
CANADA,CANADA,SAPPORO - TALL CAN,,,,,5,2.39,0.5,1
CANADA,CANADA,GRANVILLE ISLAND - KITSILANO MAPLE CREAM ALE,,,,,5,11.99,0.341,6
CANADA,CANADA,MOON UNDER WATER - POTT'S PILS UNFILTERED,,,,,5.2,5.58,0.65,1
CANADA,CANADA,PACIFIC WESTERN - SCANDAL LAGER ORGANIC,,,,,5,12.49,0.341,6
CANADA,CANADA,R & B - HOPPELGANGER IPA,,,,,5.5,5.25,0.65,1
EUROPE,BELGIUM,VAN STEENBERGE - GULDEN DRAAK,,,,,10.5,3.6,0.33,1
CANADA,CANADA,SHOCK TOP BELGIAN WHITE ALE,,,,,5.2,23.49,0.341,12
EUROPE,FRANCE,SAINT SYLVESTRE - 3 MONTS,,,,,8.5,6.95,0.75,1
EUROPE,BELGIUM,STELLA ARTOIS TALL CAN,,,,,5.2,2.89,0.5,1
AFRICA,SOUTH AFRICA,CASTLE LAGER TALL CAN,,,,,5,11.99,0.44,6
CANADA,CANADA,GRANVILLE ISLAND - WINTER MINGLER CAN,,,,,5,23.95,0.355,12
CANADA,CANADA,DEAD FROG - THE BOLD BELGIAN PALE ALE,,,,,5,12.25,0.341,6
CANADA,CANADA,SLEEMAN - SELECTIONS CAN,,,,,5.3,24.99,0.355,15
EUROPE,UNITED KINGDOM,MORLAND OLD SPECKLED HEN TALL CAN,PALE ALE,ESB,NA,3.29,5.2,10.25,0.5,4
OTHER AMERICAS,MEXICO,CORONA EXTRA,LAGER,AMERICAN ADJUNCT,19,3.06,4.6,45.99,0.33,24
CANADA,CANADA,COLUMBIA - KOKANEE CAN,LAGER,AMERICAN ADJUNCT,NA,2.8,5,9.69,0.355,6
USA,UNITED STATES OF AMERICA,DESCHUTES - MIRROR POND PALE ALE,PALE ALE,AMERICAN PALE ALE,40,3.604,5,15.29,0.355,6
CANADA,CANADA,STROH CANADA - OLD MILWAUKEE CAN,,,,,5,20.25,0.355,15
EUROPE,BELGIUM,STELLA ARTOIS,,,,,5.2,25.49,0.33,12
CANADA,CANADA,PRINCE EDWARD ISLAND BREWING - BEACH CHAIR LAGER CAN,,,,,4.5,12.39,0.355,6
EUROPE,SPAIN,ALHAMBRA RESERVA 1925,,,,,6.4,12.91,0.33,6
EUROPE,SPAIN,ESTRELLA DAMM LAGER TALL CAN,,,,,5.4,2.29,0.5,1
USA,UNITED STATES OF AMERICA,BUDWEISER & MOTTS CLAMATO - CHELADA CAN,,,,,5,13.99,0.355,6
EUROPE,BELGIUM,AFFLIGEM BLOND,,,,,6.8,3.19,0.33,1
CANADA,CANADA,TIN WHISTLE - BLACK WIDOW MILD ALE,,,,,5,5,0.65,1
CANADA,CANADA,UNIBROUE - LA FIN DU MONDE,,,,,9,6.75,0.75,1
CANADA,CANADA,MOLSON - OLD STYLE PILSNER CAN,,,,,5,13.99,0.355,8
CANADA,CANADA,CENTRAL CITY - RED RACER INDIA SESSION CAN,,,,,4,20.95,0.355,12
CANADA,CANADA,GRANVILLE ISLAND - LIONS WINTER ALE,,,,,5.5,12.99,0.341,6
USA,UNITED STATES OF AMERICA,GREEN FLASH - WESTCOAST IPA,IPA,IMPERIAL IPA,95,3.88,8.1,11.99,0.355,4
CANADA,CANADA,WHISTLER - THE CHIEF CHIPOTLE HARVEST ALE,,,,,5.5,5.75,0.65,1
EUROPE,GERMANY,HACKER PSCHORR WEISSE,,,,,5.5,3.25,0.5,1
EUROPE,CZECH REPUBLIC,KOZEL PREMIUM TALL CAN,LAGER,PILSNER,11,3.19,4.9,2.29,0.5,1
USA,UNITED STATES OF AMERICA,COORS BANQUET CAN,,,,,5,24.49,0.355,12
EUROPE,IRELAND,GUINNESS BLACK LAGER,LAGER,DARK LAGER,22,3.28,4.2,12.99,0.33,6
CANADA,CANADA,LABATT - BLUE,,,,,5,23.49,0.341,12
CANADA,CANADA,MOLSON - CANADIAN,,,,,5,33.99,0.341,18
CANADA,CANADA,MOLSON - COORS LIGHT,,,,,4,22.99,0.341,12
CANADA,CANADA,SLEEMAN - CREAM ALE,,,,,5,12.99,0.341,6
CANADA,CANADA,SLEEMAN - CREAM ALE,,,,,5,22.99,0.341,12
CANADA,CANADA,MOLSON - COORS LIGHT,,,,,4,33.99,0.341,18
CANADA,CANADA,CANNERY - BLACKBERRY PORTER,,,,,6.5,5.25,0.65,1
CANADA,CANADA,MCAUSLAN - ST AMBROISE OATMEAL STOUT,,,,,5.5,12.45,0.341,6
CANADA,CANADA,MOLSON - CANADIAN CAN,,,,,5,22.49,0.355,15
CANADA,CANADA,COLUMBIA - KOKANEE CAN,,,,,5,22.99,0.355,15
CANADA,CANADA,SPINNAKERS - INDIA PALE ALE,,,,,6.5,5.35,0.65,1
EUROPE,BELGIUM,VAN STEENBERGE - PIRAAT 9,STRONG ALE,BELGIAN STRONG PALE,NA,3.66,9,3.5,0.33,1
CANADA,CANADA,STEAMWORKS - FIREWALKER SMOKEY PORTER,,,,,7,6.25,0.65,1
EUROPE,UNITED KINGDOM,MCEWAN'S - SCOTCH ALE,,,,,8,12.95,0.33,6
EUROPE,UNITED KINGDOM,INNIS & GUNN TOASTED OAK IPA,,,,,5.6,2.79,0.33,1
USA,UNITED STATES OF AMERICA,DESCHUTES - CINDERCONE RED ALE,,,,,5.4,5.09,0.65,1
CANADA,CANADA,TIN WHISTLE - OSPREY PEAR WHITE IPA,,,,,6.5,5.75,0.65,1
CANADA,CANADA,VANCOUVER ISLAND - BEACHCOMBER SUMMER ALE,,,,,5.3,11.99,0.341,6
CANADA,CANADA,VANCOUVER ISLAND - POD PACK,,,,,5,22.5,0.341,12
CANADA,CANADA,VANCOUVER ISLAND - BLACK BETTY BLACKBERRY SAISON CAN,,,,,5.5,11.99,0.355,6
CANADA,CANADA,FERNIE - KICKSTAND HONEY KOLSCH,,,,,4.5,5.25,0.65,1
CANADA,CANADA,TREE - KELOWNA PILSNER TALL CAN,,,,,4.8,1.99,0.5,1
CANADA,CANADA,BC CRAFT BREWERS GUILD - BC CRAFT PACK,,,,,5,24.5,0.341,12
CANADA,CANADA,DEAD FROG - WINTER SEASONAL AMBER ALE,,,,,5,12.25,0.341,6
CANADA,CANADA,TREE - GROOVE SESSION ALE CAN,,,,,5,9.95,0.355,6
CANADA,CANADA,DEAD FROG - THE SUMMER MIXER,,,,,5,22.95,0.341,12
CANADA,CANADA,FERNIE - SUMMER SAMPLER CAN,,,,,5,22.95,0.355,12
EUROPE,UNITED KINGDOM,INNIS & GUNN CANADIAN CHERRYWOOD FINISH,SPECIALTY,SCOTCH ALE,NA,3.8,8.3,3.25,0.33,1
CANADA,CANADA,MT BEGBIE - ATTILA THE HONEY,,,,,5,5.1,0.65,1
EUROPE,UNITED KINGDOM,INNIS & GUNN - SMOKIN GUNN,PORTER,SMOKED,NA,3.81,7.4,4.99,0.33,1
CANADA,CANADA,PARALLEL 49 - TOUQUES OF HAZZARD IMPERIAL WHITE IPA,,,,,9,6,0.65,1
CANADA,CANADA,TIN WHISTLE - PENTICTON HARVEST HONEY PALE ALE,,,,,6,5.5,0.65,1
CANADA,CANADA,STANLEY PARK - LORD STANLEY'S SUMMER PICK,,,,,5.1,22.25,0.33,12
EUROPE,UNITED KINGDOM,HISTORIC ALES FROM SCOTLAND GIFT PACK,,,,,5,13.99,0.33,4
CANADA,CANADA,PARALLEL 49 - SCHADENFREUDE PUMPKIN OKTOBERFEST,,,,,5,12.5,0.341,6
CANADA,CANADA,BC CRAFT BREWERS GUILD MAIDEN VOYAGE EXTRA PALE ALE,,,,,6,5.95,0.65,1
CANADA,CANADA,PROHIBITION - HARVEST PUMPKIN SPICED ALE,,,,,5.5,4.95,0.65,1
CANADA,CANADA,STEAMWORKS - MASH UP MIX PACK,,,,,5.5,23.5,0.355,12
USA,UNITED STATES OF AMERICA,BROOKLYN POST ROAD PUMPKIN ALE,,,,,5,15.45,0.355,6
CANADA,CANADA,DEAD FROG - NUTTY UNCLE PEANUT BUTTER STOUT,,,,,6.1,5.5,0.65,1
CANADA,CANADA,RUSSELL - WHITE RABBIT HOPPED HEFEWEIZEN,,,,,6,5.95,0.65,1
CANADA,CANADA,CENTRAL CITY - RED RACER JEFF O'NEIL GINGERBREAD STOUT,,,,,6,5.99,0.65,1
CANADA,CANADA,RUSSELL - NAUGHTY & SPICED PORTER,,,,,6.5,5.55,0.65,1
CANADA,CANADA,VANCOUVER ISLAND - HERMANNATOR ICE BOCK,,,,,9.5,13.75,0.341,6
CANADA,CANADA,FERNIE - HOT SAW INDIA BROWN ALE,,,,,7,5.5,0.65,1
USA,UNITED STATES OF AMERICA,SIERRA NEVADA  PALE ALE,,,,,5.6,14.99,0.355,6
EUROPE,BELGIUM,MORT SUBITE FRAMBOISE,,,,,4.5,4.98,0.375,1
CANADA,CANADA,WOLF - RED BRICK INDIA PALE ALE,,,,,6,5.75,0.65,1
EUROPE,FRANCE,KRONENBOURG 1664 BLANC,,,,,5,14.49,0.33,6
CANADA,CANADA,LIGHTHOUSE - SHIPWRECK IPA,,,,,6.5,12.75,0.355,6
OCEANIA,NEW ZEALAND,STEINLAGER PURE,,,,,5,13.99,0.33,6
CANADA,CANADA,MILLER CHILL CAN,,,,,4,25.69,0.355,12
CANADA,CANADA,PHILLIPS - HOP CIRCLE IPA,,,,,6.5,12.25,0.341,6
CANADA,CANADA,R & B - SUN GOD WHEAT ALE,,,,,4.2,5.25,0.65,1
CANADA,CANADA,SLEEMAN - ORIGINAL DRAUGHT CAN,,,,,5,22.25,0.355,15
CANADA,CANADA,PARALLEL 49 - GYPSY TEARS RUBY ALE,,,,,6,12.5,0.341,6
CANADA,CANADA,HOP CITY - BARKING SQUIRREL LAGER,,,,,5,11.99,0.341,6
CANADA,CANADA,LABATT - BUDWEISER CAN PROMO 6 PK,,,,,5,9.69,0.355,6
EUROPE,UNITED KINGDOM,WYCHWOOD - FOREST FRUITS MIXED BERRY,,,,,4.2,3.5,0.5,1
CANADA,CANADA,OLD YALE - SASQUATCH STOUT,,,,,5,5.99,0.65,1
CANADA,CANADA,BARKERVILLE - 18 KARAT ALE,,,,,4.9,5.25,0.65,1
EUROPE,GERMANY,KONIG PILSNER TALL CAN,,,,,4.9,2.25,0.5,1
CANADA,CANADA,PACIFIC WESTERN - CARIBOO GENUINE DRAFT CAN,,,,,5.5,15.89,0.355,12
CANADA,CANADA,MUSKOKA - DOUBLE CHOCOLATE CRANBERRY STOUT WHITE BEARD,,,,,8,10.94,0.75,1
EUROPE,GERMANY,BITBURGER PREMIUM TALL CAN,,,,,4.8,2.25,0.5,1
EUROPE,GERMANY,ERDINGER - WEISSBIER,,,,,5.3,3.19,0.5,1
CANADA,CANADA,LABATT - BUD LIGHT CAN CANUCKS 15 PK,,,,,4,22.99,0.355,15
CANADA,CANADA,SLEEMAN - INDIA PALE ALE,,,,,5,12.25,0.341,6
EUROPE,CZECH REPUBLIC,KRUSOVICE IMPERIAL,,,,,5,2.69,0.5,1
EUROPE,UNITED KINGDOM,WYCHWOOD - HOBGOBLIN RUBY BEER,,,,,5.5,3.55,0.5,1
CANADA,CANADA,RICKARDS WHITE,,,,,5.4,12.99,0.341,6
USA,UNITED STATES OF AMERICA,COORS BANQUET,,,,,5,12.99,0.355,6
USA,UNITED STATES OF AMERICA,NINKASI - SEASONAL PACK,,,,,6,19.95,0.65,4
EUROPE,AUSTRIA,STIEGL - TALL CAN,,,,,4.9,2.59,0.5,1
CANADA,CANADA,LABATT - BUDWEISER CROWN SLIM CAN,,,,,6,23.49,0.355,12
CANADA,CANADA,ALEXANDER KEITH'S - RED AMBER ALE,,,,,5,23.49,0.341,12
CANADA,CANADA,HELL'S GATE - LAGER CAN,,,,,5,19.99,0.355,15
EUROPE,UNITED KINGDOM,BODDINGTON'S PUB ALE DRAUGHT CAN,,,,,5,14.29,0.44,4
USA,UNITED STATES OF AMERICA,MILLER GENUINE DRAFT,,,,,4.7,23.69,0.355,12
CANADA,CANADA,PACIFIC WESTERN - CARIBOO GENUINE DRAFT CAN,,,,,5.5,7.99,0.355,6
CANADA,CANADA,KEYSTONE - LAGER CAN,,,,,4.9,19.49,0.355,15
CANADA,CANADA,DRIFTWOOD BREWING - BLACKSTONE PORTER,,,,,5.1,5.5,0.65,1
CANADA,CANADA,DEAD FROG - THE CLASSIC NUT BROWN ALE,,,,,5,12.25,0.341,6
ASIA,THAILAND,SINGHA LAGER,,,,,5,12.99,0.33,6
CANADA,CANADA,NELSON - NELSON AFTER DARK ALE ORGANIC,,,,,5,11.95,0.341,6
CANADA,CANADA,MOLSON - OLD STYLE PILSNER CAN,,,,,5,35.55,0.355,24
CANADA,CANADA,SLEEMAN - HONEY BROWN LAGER,,,,,5,22.99,0.341,12
CANADA,CANADA,UNIBROUE - TROIS PISTOLES,,,,,9,6.75,0.75,1
CANADA,CANADA,MT BEGBIE - TALL TIMBER ALE,,,,,5.3,4.75,0.65,1
CANADA,CANADA,MOLSON - COORS LIGHT,,,,,4,22.99,0.341,15
EUROPE,NETHERLANDS,HEINEKEN LAGER CAN,,,,,5,24.99,0.33,12
CANADA,CANADA,MUSKOKA - DETOUR SESSION IPA,,,,,4.3,13.99,0.355,6
CANADA,CANADA,GRANVILLE ISLAND - CYPRESS HONEY LAGER CAN,,,,,4.7,22.25,0.355,15
USA,UNITED STATES OF AMERICA,BUD LIGHT LIME,,,,,4,13.29,0.33,6
CANADA,CANADA,GULF ISLAND - SALTSPRING PORTER,,,,,5.5,5.65,0.65,1
EUROPE,CZECH REPUBLIC,CZECHVAR,,,,,5,24.95,5,1
CANADA,CANADA,COLUMBIA - KOKANEE CAN,,,,,5,14.29,0.355,8
USA,UNITED STATES OF AMERICA,MENDOCINO BREWING - OATMEAL STOUT,STOUT,OATMEAL STOUT,30,3.47,6,13.99,0.355,6
CANADA,CANADA,DRIFTWOOD - CROOKED COAST ALTBIER,,,,,5,5.25,0.65,1
CANADA,CANADA,NELSON - PADDYWHACK IPA CAN ORGANIC,,,,,6.5,12.45,0.355,6
CANADA,CANADA,PARALLEL 49 - BLACK HOPS CASCADIAN DARK LAGER,,,,,6.5,5.5,0.65,1
EUROPE,DENMARK,TUBORG TALL CAN,,,,,5.5,1.99,0.5,1
CANADA,CANADA,BRIDGE - NORTH SHORE PALE,,,,,5.5,5.5,0.65,1
CANADA,CANADA,ALEXANDER KEITH'S - INDIA PALE ALE,,,,,5,23.49,0.341,12
CANADA,CANADA,VANCOUVER ISLAND - HERMANN'S DARK LAGER,,,,,5.5,12.15,0.341,6
CANADA,CANADA,MOLSON - OLD STYLE PILSNER CAN,,,,,5,9.39,0.355,6
CANADA,CANADA,COLUMBIA - KOKANEE CAN,,,,,5,9.69,0.355,6
CANADA,CANADA,MOLSON - CANADIAN CAN,,,,,5,35.55,0.355,24
CANADA,CANADA,LABATT - BUDWEISER CAN,,,,,5,22.99,0.355,15
CANADA,CANADA,MOLSON - OLD STYLE PILSNER CAN,,,,,5,29.49,0.355,18
CANADA,CANADA,OKANAGAN SPRING - PALE ALE,,,,,5,22.95,0.341,12
CANADA,CANADA,SHOCK TOP BELGIAN WHITE ALE CAN,,,,,5.2,23.49,0.355,12
USA,UNITED STATES OF AMERICA,MENDOCINO - EYE OF THE HAWK SELECT ALE,,,,,8,4.99,0.65,1
CANADA,CANADA,DEAD FROG - SUPER FEARLESS IMPERIAL IPA,,,,,9,6.98,0.65,1
CANADA,CANADA,RICKARDS DERTASTERPACKEN,,,,,5.5,22.95,0.341,12
CANADA,CANADA,STEAMWORKS - JASMINE IPA,,,,,6.5,5.5,0.65,1
CANADA,CANADA,DEAD FROG - BIG STUMP SPRUCE GOLDEN ALE,,,,,6.5,5.5,0.65,1
CANADA,CANADA,LIGHTHOUSE - VARIETY PACK,,,,,5.2,22.95,0.355,12
CANADA,CANADA,TREE - THIRSTY BEAVER AMBER ALE TALL CAN,,,,,5,2.25,0.5,1
CANADA,CANADA,TREE - GROOVE SESSION ALE TALL CAN,,,,,5,2.25,0.5,1
EUROPE,UNITED KINGDOM,FULLERS EXTRA SPECIAL BITTER,,,,,5.9,3.99,0.5,1
CANADA,CANADA,FERNIE - CRAFT COLLECTION CAN,,,,,5,22.95,0.355,12
CANADA,CANADA,LIGHTHOUSE - SUMMER VARIETY PACK,,,,,5.2,22.95,0.355,12
CANADA,CANADA,PHILLIPS - CROOKED TOOTH PUMPKIN ALE,,,,,5,5.5,0.65,1
EUROPE,UNITED KINGDOM,INNIS & GUNN MALT WHISKY TRAIL,DARK ALE,SCOTCH ALE,10,3.73,7.4,4.99,0.33,1
CANADA,CANADA,VANCOUVER ISLAND - SABOTAGE INDIA SESSION ALE,,,,,5,5.5,0.65,1
USA,UNITED STATES OF AMERICA,STONE BREWING ARROGANT BASTARD ALE,,,,,7.2,6.75,0.65,1
