Region,Country,Name,Style,Substyle,IBU,Rating,ABV,Price,Volume_Per_Container,Bottles_Per_Unit
EUROPE,CZECH REPUBLIC,PILSNER URQUELL TALL CAN,LAGER,PILSNER,40,3.35,4.1,9.59,0.5,4
CANADA,CANADA,HOWE SOUND - POTHOLE FILLER IMPERIAL STOUT,STOUT,RUSSIAN IMPERIAL STOUT,NA,3.44,9,8.75,1,1
CANADA,CANADA,PARALLEL 49 - BANANA HAMMOCK SUMMER HEFEWEIZEN,WHEAT,HEFEWEIZEN,8,3.33,6,5,0.65,1
CANADA,CANADA,CANNERY - SKAHA SUMMER ALE,PALE ALE,AMERICAN BLONDE ALE,NA,3.4,5,4.9,0.65,1
EUROPE,BELGIUM,FRULI - STRAWBERRY BEER,SPECIALTY,FRUIT BEER,NA,3.66,4.1,2.99,0.33,1
CANADA,CANADA,DEAD FROG - THE SEASONAL CITRUS WIT,WHEAT,BELGIAN WITBIER,8,3.32,5,12.25,0.341,6
CANADA,CANADA,HOWE SOUND - KING HEFFY IMPERIAL HEFEWEIZEN,WHEAT,HEFEWEIZEN,20,3.66,7.7,8.75,1,1
CANADA,CANADA,HOWE SOUND - FATHER JOHN'S WINTER ALE,DARK ALE,WINTER ALE,17,3.54,8,8.75,1,1
CANADA,CANADA,BIG ROCK - WINTER SPICE,DARK ALE,WINTER ALE,NA,3.52,6,12.5,0.33,6
EUROPE,UNITED KINGDOM,WYCHWOOD - BAH HUMBUG,DARK ALE,WINTER ALE,4,3.33,5,3.5,0.5,1
CANADA,CANADA,FERNIE - SAP SUCKER MAPLE PORTER,PORTER,AMERICAN PORTER,35,3.56,5.5,5.5,0.65,1
USA,UNITED STATES OF AMERICA,OMMEGANG - GAME OF THRONES VALAR MORGHULIS,DARK ALE,BELGIAN DUBBEL,NA,3.75,8,8.95,0.75,1
OTHER AMERICAS,MEXICO,DOS EQUIS XX ESPECIAL LAGER,LAGER,AMERICAN ADJUNCT,10,3.09,4.6,13.49,0.355,6
OTHER AMERICAS,MEXICO,SOL BEER,LAGER,AMERICAN ADJUNCT,NA,2.88,4.5,12.95,0.33,6
CANADA,CANADA,CENTRAL CITY - THE HOBBIT GOLLUM'S PRECIOUS PILS,LAGER,PILSNER,30,3.35,5,6.99,0.65,1
CANADA,CANADA,PACIFIC WESTERN - CARIBOO GENUINE DRAFT CAN,LAGER,AMERICAN ADJUNCT,NA,2.77,5.5,25.99,0.355,20
EUROPE,GERMANY,RADEBERGER PILSNER TALL CAN,LAGER,PILSNER,33,3.2,4.8,2.29,0.5,1
CANADA,CANADA,CANNERY - SQUIRE SCOTCH ALE,DARK ALE,SCOTCH ALE,20,3.34,6.5,5.5,0.65,1
