"","Region","Country","Name","Style","Substyle","IBU","Rating","ABV","Price","Price_L","Value_metric"
"117","EUROPE","BELGIUM","CHIMAY RED CAP","DARK ALE","BELGIAN DUBBEL","19",3.79,7,3.69,11.18,0.338943089430894
"118","CANADA","CANADA","CENTRAL CITY - THE HOBBIT SMAUG STOUT","STOUT","RUSSIAN IMPERIAL STOUT","65",3.5,9.5,8.99,13.83,0.253058954393771
"119","CANADA","CANADA","CANNERY - MAPLE STOUT","STOUT","AMERICAN STOUT","40",3.7,5.5,5.5,8.46,0.437272727272727
"120","OTHER AMERICAS","MEXICO","DOS EQUIS XX AMBER","LAGER","VIENNA LAGER","25",3.22,4.6,13.49,6.33,0.508421052631579
"121","CANADA","CANADA","DEAD FROG - WINTER BEERACLE WINTER ALE","DARK ALE","WINTER ALE","24",3.52,7.5,4.99,7.68,0.458517034068136
"122","CANADA","CANADA","GRANVILLE ISLAND - HEY DAY HEFEWEIZEN","WHEAT","HEFEWEIZEN",NA,3.48,5,11.99,5.86,0.593834862385321
"123","OTHER AMERICAS","MEXICO","NEGRA MODELO","LAGER","VIENNA LAGER","16",3.28,5.3,13.29,6.24,0.52568848758465
"124","ASIA","JAPAN","KIRIN ICHIBAN","LAGER","PALE LAGER","18",3.11,5,11.79,5.54,0.561857506361323
"125","CANADA","CANADA","VANCOUVER ISLAND - SEA DOG AMBER ALE","BROWN ALE","ALTBIER",NA,3.4,5,11.99,5.86,0.580183486238532
"126","CANADA","CANADA","BOWEN ISLAND - ARTISAN IPA","IPA","ENGLISH IPA","45",3.07,5.5,8.95,4.2,0.730625698324022
"127","CANADA","CANADA","HOWE SOUND - LAGER CAN","LAGER","DORTMUNDER","18",3.37,5.4,11.99,5.63,0.598673894912427
"128","CANADA","CANADA","WHISTLER - WHISKEY JACK ALE","RED ALE","AMERICAN AMBER",NA,3.36,5,12.25,6.19,0.543085714285714
"129","OTHER AMERICAS","MEXICO","CORONA EXTRA","LAGER","AMERICAN ADJUNCT","19",3.06,4.6,13.29,6.71,0.45589164785553
"130","CANADA","CANADA","PHILLIPS - BOTTLE ROCKET INDIA SESSION ALE","IPA","SESSION",NA,3.7,5,11.85,5.56,0.665063291139241
"131","EUROPE","BELGIUM","DUPONT - SAISON DUPONT VIEILLE PROVISION","PALE ALE","SAISON","30",3.75,6.5,7.2,9.6,0.390625
"132","EUROPE","BELGIUM","DUPONT - MOINETTE BLONDE","STRONG ALE","BELGIAN STRONG PALE",NA,3.6,8.5,7.8,10.4,0.346153846153846
"133","CANADA","CANADA","VANCOUVER ISLAND - ISLANDER LAGER CAN","LAGER","PALE LAGER",NA,3.19,5,12.75,4.49,0.710556862745098
"134","CANADA","CANADA","MOLSON - CANADIAN 67 CAN","LAGER","AMERICAN LIGHT LAGER",NA,2.16,3,22.49,5.28,0.409141840818141
"135","CANADA","CANADA","WOLF - RANNOCH SCOTCH ALE","STRONG ALE","SCOTCH ALE",NA,3.36,6,5.85,9,0.373333333333333
"136","EUROPE","BELGIUM","CHIMAY BLUE CAP","STRONG ALE","BELGIAN STRONG DARK","35",3.96,9,4.04,12.24,0.323465346534653
"137","CANADA","CANADA","STEAMWORKS - PALE ALE TALL CAN","PALE ALE","AMERICAN PALE ALE","40",3.49,5.2,2.25,4.5,0.775555555555556
"138","CANADA","CANADA","SLEEMAN - ORIGINAL DRAUGHT","LAGER","PALE LAGER",NA,3.07,5,19.99,4.89,0.628436218109055
"139","EUROPE","NETHERLANDS","GROLSCH PREMIUM LAGER","LAGER","PILSNER",NA,3.22,5,12.75,6.44,0.500047058823529
"140","ASIA","JAPAN","ASAHI SUPER DRY","LAGER","JAPANESE RICE","16",3.07,5,11.85,5.98,0.512962025316456
"141","CANADA","CANADA","ALEXANDER KEITH'S - INDIA PALE ALE CAN","IPA","ENGLISH IPA","20",3,5,21.45,5.04,0.595804195804196
"142","EUROPE","GERMANY","LOWENBRAU ORIGINAL TALL CAN","LAGER","HELLES","19",3.16,5.2,2.79,5.58,0.566308243727599
"143","EUROPE","BELGIUM","STELLA ARTOIS","LAGER","PILSNER","24",3.26,5.2,13.29,6.71,0.48568848758465
"144","CANADA","CANADA","SLEEMAN - HONEY BROWN LAGER CAN","LAGER","AMERICAN AMBER LAGER",NA,3.26,5.5,19.99,4.69,0.694727363681841
"145","EUROPE","IRELAND","KILKENNY IRISH CREAM ALE DRAUGHT CAN","HYBRID","CREAM ALE",NA,3.41,4.5,11.99,6.81,0.500550458715596
"146","EUROPE","GERMANY","SUENNER KOELSCH","PALE ALE","KOLSCH","19",3.43,4.8,2.85,5.7,0.601754385964912
"147","ASIA","SINGAPORE","TIGER BEER","LAGER","PALE LAGER","18",2.93,5,11.95,6.04,0.48547280334728
"148","ASIA","JAPAN","ASAHI SUPER DRY BIG CAN","LAGER","JAPANESE RICE","16",3.07,5,13.65,6.83,0.44981684981685
"149","OTHER AMERICAS","MEXICO","CORONA EXTRA LA GRANDE","LAGER","AMERICAN ADJUNCT","19",3.06,4.6,4.59,6.46,0.473333333333333
"150","EUROPE","IRELAND","GUINNESS PUB DRAUGHT CAN","STOUT","IRISH","45",3.8,4.1,22.99,6.53,0.581818181818182
"151","CANADA","CANADA","STROH CANADA - OLD MILWAUKEE CAN","LAGER","AMERICAN ADJUNCT",NA,2.35,5,8.49,3.99,0.589575971731449
"152","CANADA","CANADA","STROH CANADA - RAINIER CAN","LAGER","AMERICAN ADJUNCT","10",2.92,5,8.29,3.89,0.750253317249698
"153","CANADA","CANADA","LABATT - BUSCH ICE CAN","LAGER","AMERICAN ADJUNCT",NA,2.13,6,19.49,3.66,0.581952283222165
"154","OTHER AMERICAS","MEXICO","CORONA LIGHT","LAGER","AMERICAN LIGHT LAGER","18",2.77,3.7,13.29,6.71,0.412686230248307
"155","CANADA","CANADA","PERSEPHONE  - GODDESS GOLDEN ALE CAN","PALE ALE","AMERICAN BLONDE ALE","35",3.45,5,11.95,5.61,0.614937238493724
"156","CANADA","CANADA","STEAMWORKS - PALE ALE","PALE ALE","AMERICAN PALE ALE","40",3.49,5.5,12.5,5.87,0.594696
"157","CANADA","CANADA","KEYSTONE - LIGHT CAN","LAGER","AMERICAN LIGHT LAGER",NA,2,4,8.49,3.99,0.501766784452297
"158","CANADA","CANADA","MAD & NOISY - HOPS & BOLTS INDIA PALE LAGER","LAGER","INDIA PALE LAGER","60",3.43,5.3,12.99,6.35,0.54024480369515
"159","CANADA","CANADA","VANCOUVER ISLAND - DOUGH HEAD GINGERBREAD ALE","SPECIALTY","HERB",NA,3.38,5.2,5.5,8.46,0.399454545454545
"160","CANADA","CANADA","OKANAGAN SPRING - PALE ALE CAN","PALE ALE","AMERICAN PALE ALE",NA,3.22,5,22.95,5.39,0.597699346405229
"161","CANADA","CANADA","MCAUSLAN - ST AMBROISE APRICOT WHEAT ALE","SPECIALTY","FRUIT BEER","15",3.51,5,12.45,6.09,0.576824096385542
"162","CANADA","CANADA","PACIFIC WESTERN - PACIFIC PILSNER CAN","LAGER","AMERICAN ADJUNCT",NA,2.71,5,19.9,3.74,0.725163316582915
"163","CANADA","CANADA","CREEMORE SPRINGS - PREMIUM LAGER","LAGER","PILSNER","24",3.45,5,12.99,6.35,0.543394919168591
"164","CANADA","CANADA","DRIFTWOOD - PALE ALE","PALE ALE","AMERICAN PALE ALE",NA,3.65,5,5.25,8.08,0.451904761904762
"165","CANADA","CANADA","PACIFIC WESTERN - SCANDAL ALE ORGANIC","LAGER","AMBER LAGER","17",3.43,5,12.49,6.1,0.561871897518014
"166","CANADA","CANADA","PHILLIPS - ANALOGUE 78 KOLSCH","PALE ALE","KOLSCH",NA,3.47,5,11.99,5.86,0.592128440366973
"167","USA","UNITED STATES OF AMERICA","LAGUNITAS - IMPERIAL RED ALE","STRONG ALE","IMPERIAL RED ALE","54",3.86,7.8,6.05,9.31,0.414710743801653
"168","CANADA","CANADA","LABATT - LUCKY LAGER","LAGER","AMERICAN ADJUNCT",NA,2.42,5,23.49,5.74,0.421568326947637
"169","CANADA","CANADA","COLUMBIA - KOOTENAY TRUE ALE CAN","RED ALE","AMERICAN AMBER",NA,2.94,5,8.15,3.83,0.768368098159509
"170","CANADA","CANADA","SLEEMAN - SILVER CREEK LAGER","LAGER","PALE LAGER",NA,3.03,5,12.99,6.35,0.477242494226328
"171","CANADA","CANADA","COLUMBIA - KOKANEE","LAGER","AMERICAN ADJUNCT",NA,2.8,5,34.69,5.65,0.495428077255693
"172","CANADA","CANADA","R & B - EAST SIDE BITTER","PALE ALE","ESB","30",3.59,5.5,12.25,5.99,0.599603265306123
"173","CANADA","CANADA","DOUBLE TROUBLE - HOPS AND ROBBERS IPA","IPA","AMERICAN IPA","50",3.51,5.7,5.23,8.05,0.43623326959847
"174","CANADA","CANADA","BOWEN ISLAND - MUTINY RED ALE CAN","RED ALE","AMERICAN AMBER","NA`",3.18,5,8.95,4.2,0.756804469273743
"175","EUROPE","UNITED KINGDOM","WELLS BANANA BREAD","SPECIALTY","FRUIT BEER","18",3.57,5.2,3.55,7.1,0.502816901408451
"176","USA","UNITED STATES OF AMERICA","OMMEGANG GAME OF THRONES FIRE & BLOOD","RED ALE","AMERICAN AMBER",NA,3.56,6.8,8.95,11.93,0.298324022346369
"177","EUROPE","FRANCE","KRONENBOURG 1664 BLANC TALL CAN","WHEAT","BELGIAN WITBIER","7",3.51,5,2.65,5.3,0.662264150943396
"178","CANADA","CANADA","PARALLEL 49 - WILD RIDE 2ND ANNIVERSARY BELGIAN STRONG ALE","STRONG ALE","BELGIAN STRONG PALE","27",3.49,9,6.5,10,0.349
"179","USA","UNITED STATES OF AMERICA","NOLI BREWHOUSE - BORN AND RAISED IPA","IPA","AMERICAN IPA","85",3.67,7,5.99,9.22,0.398247078464107
"180","CANADA","CANADA","BAD TATTOO - WESTCOAST IPA","IPA","AMERICAN IPA","65",3.59,6.2,5.95,9.15,0.39218487394958
"181","CANADA","CANADA","TREE - CUTTHROAT PALE ALE TALL CAN","PALE ALE","AMERICAN PALE ALE","36",3.38,5,2.25,4.5,0.751111111111111
"182","CANADA","CANADA","SHAFTEBURY - COASTAL CREAM ALE TALL CAN","HYBRID","CREAM ALE","16",3.09,5,1.99,3.98,0.776381909547739
"183","CANADA","CANADA","TREE - MELLOW MOON","WHEAT","HEFEWEIZEN","20",3.48,5,11.5,5.81,0.599165217391304
"184","EUROPE","UNITED KINGDOM","DUCHY ORIGINALS ORGANIC OLD RUBY ALE","RED ALE","OTHER",NA,3.39,5,3.55,7.1,0.477464788732394
"185","CANADA","CANADA","STEAMWORKS - PUMPKIN ALE","SPECIALTY","PUMPKIN","25",3.44,6.5,5.5,8.46,0.406545454545455
"186","CANADA","CANADA","MT BEGBIE - DARK SIDE OF THE STOKE COFFEE STOUT","STOUT","OATMEAL","22",3.57,4.8,5.1,7.85,0.455
"187","CANADA","CANADA","MCAUSLAN - ST AMBROISE PUMPKIN ALE","SPECIALTY","PUMPKIN","18",3.49,5,8.95,6.56,0.531883798882682
