Region,Country,Gallons
OCEANIA,AUSTRALIA,2259743
SOUTH AMERICA,CHILE,28993612
ASIA,KOREA,5937726
NORTH AMERICA,MEXICO,61609732
AFRICA,MOROCCO,228736
EUROPE,NETHERLANDS,794851
