Region,Country,Percent Growth
NORTH AMERICA,BERMUDA,96.37
OCEANIA,FRENCH POLYNESIA,303.04
AFRICA,KENYA,1180.49
ASIA,KOREA,179.49
EUROPE,LITHUANIA,521.21
SOUTH AMERICA,PERU,184.25
